Questions ,Option  1,Option  2,Option  3,Option  4,Answer ,Solution,sid,qid
 A can do a job in 18 days and B can do it in 30 days. A and B working together will finish twice the amount of work in ------- days?,21 ½ days, 22 ½ days,23 ½ days,12 ½ days,2,1/18 + 1/30 = 8/90 = 4/45   45/4 = 11 ¼ *2 = 22 ½ days,APTTAWENL,TAWENL011
 A and B together can do a work in 6 days. If A alone can do it in 15 days. In how many days can B alone do it?,10,15,12,16,1,1/6 “ 1/15 = 1/10 ::: 10,APTTAWENL,TAWENL012
"A is thrice as efficient as B and is, therefore, able to finish a piece of work 10 days earlier than B. In how many days A and B will finish it together?",3 1/2 days, 3 4/5 days,3 days,5 days,4,1/x “ 1/3x = 1/10  x = 20/3  3/20 + 1/20 = 1/5 => 5 days,APTTAWENL,TAWENL013
"A, B and C can do a piece of work in 7 days, 14 days and 28 days respectively. How long will they taken, if all the three work together?", 3 days,4 days,5 days,6 days,2,1/7 + 1/14 + 1/28 = 7/28 = 1/4 => 4 days,APTTAWENL,TAWENL014
 A is twice as good a work man as B and together they finish the work in 14 days. In how many days A alone can finish the work?,20, 21,22,23,2,2x + x = 1/14 ::: => x = 1/42  2x = 1/21  :::  A can do the work in 21 days.,APTTAWENL,TAWENL015
"A, B and C can do a work in 6, 8 and 12 days respectively doing the work together and get a payment of Rs.1800. What is B's share?",Rs.600,Rs.450,Rs.300,Rs.500,1,WC = 1/6:1/8:1/12 ::: 4:3:2    3/9 * 1800 = 600,APTTAWENL,TAWENL016
"If A, B and C together can finish a piece of work in 4 days. A alone in 12 days and B in 18 days, then C alone can do it in?",21 days,15 days,12 days,9 days,4,C = 1/4 - 1/12 “ 1/18 = 1/9 => 9 days,APTTAWENL,TAWENL017
"5 men and 12 boys finish a piece of work in 4 days, 7 men and 6 boys do it in 5 days. The ratio between the efficiencies of a man and boy is?", 1:2,02:01,02:03,06:05,4,20M + 48B = 35M + 30B   18B = 15M :::  => 5M = 6B    M: B = 6:5,APTTAWENL,TAWENL018
" 9 men and 12 boys finish a job in 12 days, 12 men and 12 boys finish it in 10 days. 10 men and 10 boys shall finish it in how many days?", 8,10,12,14,3,24B = 12M ::: => 1M = 2B  18B + 12B = 30B ---- 12 days  :::  20B + 10B = 30B -----? ::: => 12 days,APTTAWENL,TAWENL019
" If 12 men do a work in 80 days, in how many days will 16 men do it?",30,40,50,60,4,12 * 80 = 16 * x   x = 60 days,APTTAWENL,TAWENL020
A and B can finish a work in 16 days while A alone can do the same work in 24 days. In how many days B alone will complete the work?, 56,48,36,58,2,B = 1/16 “ 1/24 = 1/48 ::: => 48 days,APTTAWENL,TAWENL021
 16 men can complete a piece of work in 25 days. In how many days can 20 men complete that piece of work?,16 days,18 days, 20 days,22 days,3,16 * 25 = 20 * x ::: => x = 20 days,APTTAWENL,TAWENL022
 5 men are equal to as many women as are equal to 8 boys. All of them earn Rs.90 only. Men's wages are?,Rs.6, Rs.5,Rs.4.50,Rs.5.50,1,"5M + xW + 8B ----- 90 Rs.  5M + 5M + 5M ----- 90 Rs.  15M ------ 90 Rs.:::  => 1M = 6Rs.
",APTTAWENL,TAWENL023
45 men working 8 hours per day dig 30 m deep. How many extra men should be put to dig to a depth of 50 m working 6 hours per day?, 25,30,45, 55,4,(45 * 8)/30 = (x * 6)/50 :::  x =100  100 “ 45 = 55,APTTAWENL,TAWENL024
 A is half good a work man as B and together they finish a job in 14 days. In how many days working alone B finish the job?,20,21,22,23,2,2x + x = 1/14 :::  x = 1/42 :::   2x = 1/21 => 21 days,APTTAWENL,TAWENL025
A is twice as good a workman as B and they took 7 days together to do the work B alone can do it in.,12 days,18 days,21 days,27 days,3,WC = 2:1  ::: 2x + x = 1/7 :::  x = 1/21 => 21 days,APTTAWENL,TAWENL026
A can do a half of certain work in 70 days and B one third of the same in 35 days. They together will do the whole work in.,420 days,120 days,105 days,60 days,4,A = 140 days :::  B = 105 days  1/140 + 1/105 = 7/420 = 1/60 :::   =>60 days,APTTAWENL,TAWENL027
"If 3 workers collect 48 kg of cotton in 4 days, how many kg of cotton will 9 workers collect in 2 days?",216,108, 72,36,3,(3 * 4)/48 = (9 * 2)/ x   :::  x = 72 kg,APTTAWENL,TAWENL028
Some persons can do a piece of work in 12 days. Two times the number of these people will do half of that work in?,3 days, 4 days,6 days,12 days,1,12/ (2 * 2) = 3 days,APTTAWENL,TAWENL029
 30 men can do a work in 40 days. When should 20 men leave the work so that the entire work is completed in 40 days after they leave the work?,5 days,10 days,15 days,20 days,2,Total work to be done = 30 * 40 = 1200  40P + (20 * 40) = 1200  40P = 400 :::  => P = 10 days,APTTAWENL,TAWENL030
